,id,addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,longitude,name,opening_hours,tags,website,coordinates,location_id,zone
47,113,New York,528,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0043727 40.7500805),40.7500805,-74.0043727,Galerie Lelong & Co.,Tu-Sa 10:00-18:00,gallery,https://www.galerielelong.com,POINT (-74.0043727 40.7500805),246,West Chelsea/Hudson Yards
48,114,New York,524,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0040157 40.7499492),40.7499492,-74.0040157,Berry Campbell Gallery,Tu-Sa 10:00-18:00,gallery,https://berrycampbell.com,POINT (-74.0040157 40.7499492),246,West Chelsea/Hudson Yards
49,115,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0042111 40.7499804),40.7499804,-74.0042111,Caelum Gallery,Mo-Sa 12:00-18:00,gallery,https://www.caelumgallery.com,POINT (-74.0042111 40.7499804),246,West Chelsea/Hudson Yards
50,116,New York,514,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0037006 40.7498115),40.7498115,-74.0037006,Fergus McCaffrey Gallery,Tu-Sa 10:00-18:00,gallery,https://fergusmccaffrey.com,POINT (-74.0037006 40.7498115),246,West Chelsea/Hudson Yards
51,117,New York,508,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0035852 40.7497696),40.7497696,-74.0035852,Greene Naftali Gallery,Tu-Sa 10:00-18:00,gallery,https://greenenaftaligallery.com,POINT (-74.0035852 40.7497696),246,West Chelsea/Hudson Yards
52,118,New York,545,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.005004 40.7498665),40.7498665,-74.005004,Marlborough Gallery,Tu-Sa 10:00-18:00,gallery,https://www.marlboroughnewyork.com,POINT (-74.005004 40.7498665),246,West Chelsea/Hudson Yards
53,119,New York,547,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0051872 40.7499342),40.7499342,-74.0051872,Cheim & Read,Tu-Sa 10:00-18:00,gallery,https://www.cheimread.com,POINT (-74.0051872 40.7499342),246,West Chelsea/Hudson Yards
54,120,New York,555,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0054024 40.7500313),40.7500313,-74.0054024,Gallery Henoch,Tu-Sa 10:30-18:00,gallery,https://www.galleryhenoch.com,POINT (-74.0054024 40.7500313),246,West Chelsea/Hudson Yards
55,121,New York,545,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0055421 40.749778),40.749778,-74.0055421,The FLAG Art Foundation,We-Sa 11:00-17:00,gallery,https://www.flagartfoundation.org,POINT (-74.0055421 40.749778),246,West Chelsea/Hudson Yards
56,122,New York,520,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0042332 40.7492373),40.7492373,-74.0042332,Petzel Gallery,tu-sa 10:00-18:00,gallery,https://www.petzel.com,POINT (-74.0042332 40.7492373),246,West Chelsea/Hudson Yards
