addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,geometry,location_id,zone
223,5th Avenue,New York,10016,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Sex,"Mo-Th, Su 10:30-22:00; Fr, Sa 10:30-23:00",museum,https://www.museumofsex.com/,POINT (-73.9873576 40.7440374),234,Union Sq
11,East 26th Street,New York,10010,"Award winning museum that highlights the role of mathematics in illuminating the patterns and structures all around us. Its dynamic exhibits, gallery, and programs are designed to stimulate inquiry, spark curiosity, and reveal the wonders of mathematics.",National Museum of Mathematics,Mo-Su 10:00-17:00,museum,https://momath.org/,POINT (-73.9873437 40.7432428),234,Union Sq
17,West 17th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,The 8th Floor Gallery,Th-Sa 11:00-18:00,gallery,https://www.the8thfloor.org,POINT (-73.9932713 40.7385275),234,Union Sq
1071,5th Avenue,New York,10128,Hint: Saturdays 18:00-20:00 Pay-What-You-Wish Admission,Guggenheim Museum,"Mo, We-Fr, Su 11:00-18:00; Th off; Sa 11:00-20:00",museum,https://www.guggenheim.org/new-york,POINT (-73.9588842 40.7829919),236,Upper East Side North
1109,5th Avenue,New York,10128,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Jewish Museum,"Mo, Tu, Sa, Su 11:00-17:45; Th 11:00-20:00; Fr 11:00-16:00",museum,https://thejewishmuseum.org,POINT (-73.957186 40.7854051),236,Upper East Side North
38,East 70th Street,New York,10021,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Michael Altman Fine Art,Mo-Fr 10:00-17:00; PH off,gallery,https://mnafineart.com/,POINT (-73.965721 40.7700521),237,Upper East Side South
128,East 63rd Street,New York,10065,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Society of Illustrators,We-Sa 11:00-17:00,museum,https://societyillustrators.org/,POINT (-73.966827 40.7648187),237,Upper East Side South
945,Madison Avenue,New York,10021,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Frick Madison,Th-Su 10:00-18:00,museum,https://www.frick.org/,POINT (-73.9639898 40.7734755),237,Upper East Side South
212,West 83rd Street,New York,10024,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Children's Museum of Manhattan,Su-Fr 10:00-17:00; Sa 10:00-19:00,museum,https://www.cmom.org/,POINT (-73.9773343 40.7858798),239,Upper West Side South
180,Central Park West,New York,10024,"The American Museum of Natural History is a natural history museum on the Upper West Side of Manhattan in New York City. In Theodore Roosevelt Park, across the street from Central Park, the museum complex comprises 26 interconnected buildings housing 45 p",American Museum of Natural History,Mo-Su 10:00-17:30,museum,https://www.amnh.org/,POINT (-73.974211 40.7810986),239,Upper West Side South
200,Central Park West,New York,10024,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Hayden Planetarium,Mo-Su 10:00-17:30,museum,https://haydenplanetarium.org/,POINT (-73.9733215 40.7813974),239,Upper West Side South
99,Margaret Corbin Drive,New York,10040,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Met Cloisters,Th-Tu 10:00-16:30,museum,https://www.metmuseum.org/visit/plan-your-visit/met-cloisters,POINT (-73.9319228 40.8648684),243,Washington Heights North
515,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Gladstone Gallery,Tu-sa 10:00-18:00,gallery,https://gladstonegallery.com,POINT (-74.004588 40.7489761),246,West Chelsea/Hudson Yards
555,West 24th Street,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Gagosian,Tu-Sa 10:00-18:00,museum,https://gagosian.com,POINT (-74.0059445 40.7494423),246,West Chelsea/Hudson Yards
555,West 21st Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,303 Gallery,Tu-Sa 11:00-17:00,gallery,https://www.303gallery.com,POINT (-74.0075391 40.7475429),246,West Chelsea/Hudson Yards
540,West 25th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Pace Gallery,Tu-Sa 10:00-18:00,gallery,https://www.pacegallery.com/galleries/new-york/,POINT (-74.0049685 40.7495759),246,West Chelsea/Hudson Yards
500A,West 21st Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Nohra Haime Gallery,Tu-Sa 10:00-18:00,gallery,https://nohrahaimegallery.com,POINT (-74.0054994 40.7464281),246,West Chelsea/Hudson Yards
534,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Mitchell-Innes & Nash Art Gallery,Tu-Sa 10:00-18:00,gallery,https://www.miandn.com,POINT (-74.0044964 40.7501321),246,West Chelsea/Hudson Yards
526,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Rick Wester Fine Art,We-Sa 11:00-18:00,gallery,https://www.rickwesterfineart.com,POINT (-74.0041806 40.7500174),246,West Chelsea/Hudson Yards
528,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Galerie Lelong & Co.,Tu-Sa 10:00-18:00,gallery,https://www.galerielelong.com,POINT (-74.0043727 40.7500805),246,West Chelsea/Hudson Yards
524,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Berry Campbell Gallery,Tu-Sa 10:00-18:00,gallery,https://berrycampbell.com,POINT (-74.0040157 40.7499492),246,West Chelsea/Hudson Yards
526,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Caelum Gallery,Mo-Sa 12:00-18:00,gallery,https://www.caelumgallery.com,POINT (-74.0042111 40.7499804),246,West Chelsea/Hudson Yards
514,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Fergus McCaffrey Gallery,Tu-Sa 10:00-18:00,gallery,https://fergusmccaffrey.com,POINT (-74.0037006 40.7498115),246,West Chelsea/Hudson Yards
508,West 26th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Greene Naftali Gallery,Tu-Sa 10:00-18:00,gallery,https://greenenaftaligallery.com,POINT (-74.0035852 40.7497696),246,West Chelsea/Hudson Yards
545,West 25th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Marlborough Gallery,Tu-Sa 10:00-18:00,gallery,https://www.marlboroughnewyork.com,POINT (-74.005004 40.7498665),246,West Chelsea/Hudson Yards
547,West 25th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Cheim & Read,Tu-Sa 10:00-18:00,gallery,https://www.cheimread.com,POINT (-74.0051872 40.7499342),246,West Chelsea/Hudson Yards
555,West 25th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Gallery Henoch,Tu-Sa 10:30-18:00,gallery,https://www.galleryhenoch.com,POINT (-74.0054024 40.7500313),246,West Chelsea/Hudson Yards
