VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-02-01 00:24:57,2022-02-01 00:27:06,1.0,0.5,1.0,N,137,107,1,3.5,0.5,0.5,1.46,0.0,0.3,8.76,2.5,0.0
2,2022-02-01 00:44:17,2022-02-01 00:51:34,1.0,1.94,1.0,N,142,237,1,8.0,0.5,0.5,1.5,0.0,0.3,13.3,2.5,0.0
1,2022-02-01 00:22:03,2022-02-01 00:47:12,2.0,15.5,1.0,N,132,55,1,42.5,1.75,0.5,3.0,0.0,0.3,48.05,0.0,1.25
2,2022-02-01 00:36:13,2022-02-01 00:45:36,1.0,3.22,1.0,N,263,164,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,2022-02-01 00:28:17,2022-02-01 00:38:29,1.0,3.49,1.0,N,107,87,1,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5,0.0
1,2022-02-01 00:15:42,2022-02-01 00:34:53,1.0,11.5,4.0,N,132,265,1,40.5,1.75,0.5,1.0,0.0,0.3,44.05,0.0,1.25
2,2022-02-01 00:23:45,2022-02-01 00:49:18,1.0,9.93,1.0,N,132,36,1,29.5,0.5,0.5,8.01,0.0,0.3,40.06,0.0,1.25
2,2022-02-01 00:18:43,2022-02-01 00:37:55,1.0,7.41,1.0,N,132,76,1,23.5,0.5,0.5,5.21,0.0,0.3,31.26,0.0,1.25
1,2022-02-01 00:10:55,2022-02-01 00:27:52,1.0,4.3,1.0,N,141,260,2,16.0,3.0,0.5,0.0,0.0,0.3,19.8,2.5,0.0
1,2022-02-01 00:51:13,2022-02-01 01:01:07,1.0,1.9,1.0,N,138,129,2,9.0,1.75,0.5,0.0,0.0,0.3,11.55,0.0,1.25
2,2022-02-01 00:13:00,2022-02-01 00:19:07,1.0,1.24,1.0,N,140,263,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5,0.0
