addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,location_id,longitude,name,opening_hours,tags,website,zone,rating
New York,47,10012,Great Jones Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.992545 40.7265986),40.7265986,114,-73.992545,La MaMa Galleria,Th-Su 13:00-19:00,gallery,https://lamama.org,Greenwich Village South,4.5
New York,414,10031,W 141st Street,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.94715219954486 40.82160404277699),40.82160404,152,-73.9471522,Hamilton Grange National Memorial,We-Su 10:00-17:00,attraction,http://www.nps.gov/hagr/index.htm,Manhattanville,4.5
New York,615,10027,West 129th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9586445 40.8172422),40.8172422,152,-73.9586445,Miriam and Ira D. Wallach Art Gallery,We-Fr 12:00-20:00; Sa-Su 12:00-18:00,gallery,https://wallach.columbia.edu/,Manhattanville,4.5
New York,,10040,"W 190th St &, Amsterdam Ave",Searching for tranquility within the concrete jungle that is Manhattan? Look no further! This park provides a scenic sancturary away from the busy streets of New York City. Settle in and connect with Monther Nature,POINT (-73.92566291430934 40.85407238455946),40.85407238,120,-73.92566291,Highbridge Park,Mo-Su 6:00-23:00,park,https://www.nycgovparks.org/parks/highbridge-park,Highbridge Park,4.5
New York,278,10013,Spring Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0069355 40.7255756),40.7255756,125,-74.0069355,New York City Fire Museum,10:00-17:00,museum,http://www.nycfiremuseum.org/,Hudson Sq,4.5
New York,251,10013,Spring Street,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-74.0054663 40.7257695),40.7257695,125,-74.0054663,Color Factory,"Mo, Th, Su 09:30-18:00; Tu 09:30-17:00; We off; Fr, Sa 09:30-20:00",attraction,http://colorfactory.co,Hudson Sq,4.5
New York,75,10013,Varick Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0068809 40.7231769),40.7231769,125,-74.0068809,Jackie Robinson Museum,Th-Su 11:00-18:00; Dec 25 off,museum,https://www.jackierobinsonmuseum.org,Hudson Sq,4.5
New York,4881,10034,Broadway,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9228859 40.8673822),40.8673822,127,-73.9228859,Dyckman Farmhouse Museum,Th-Sa 11:00-16:00; Su 11:00-15:00,museum,https://dyckmanfarmhouse.org/,Inwood,4.5
New York,,10034,"Payson Avenue. &, Seaman Avenue",Searching for tranquility within the concrete jungle that is Manhattan? Look no further! This park provides a scenic sancturary away from the busy streets of New York City. Settle in and connect with Monther Nature,POINT (-73.92478673207417 40.87232078946028),40.87232079,128,-73.92478673,Inwood Hill Park,Mo-Su 06:00- 01:00,park,https://www.nycgovparks.org/parks/inwood-hill-park,Inwood Hill Park,4.5
New York,240,10010,E 26th Street,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.98003627256129 40.74012964173791),40.74012964,137,-73.98003627,Holographic Studios,Mo-Fr 14:00-18:00,attraction,http://www.holographer.com/,Kips Bay,4.5
New York,,10022,"E. 60th Street &, FDR Drive",Searching for tranquility within the concrete jungle that is Manhattan? Look no further! This park provides a scenic sancturary away from the busy streets of New York City. Settle in and connect with Monther Nature,POINT (-73.95743298975025 40.75982795658405),40.75982796,140,-73.95743299,Andrew Haswell Green Park,Mo 06:00-01:00; Tu-Sa 06:00-23:00; Su 06:00-00:00,park,https://www.nycgovparks.org/parks/andrew-haswell-green-park,Lenox Hill East,4.5
New York,725,10021,Park Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.96445564742066 40.77016065413637),40.77016065,237,-73.96445565,Asia Society and Museum,Tu-Su 11:00-17:00,museum,http://asiasociety.org/new-york,Upper East Side South,4.5
New York,38,10021,East 70th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.965721 40.7700521),40.7700521,237,-73.965721,Michael Altman Fine Art,Mo-Fr 10:00-17:00; PH off,gallery,https://mnafineart.com/,Upper East Side South,4.5
New York,128,10065,East 63rd Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.966827 40.7648187),40.7648187,237,-73.966827,Society of Illustrators,We-Sa 11:00-17:00,museum,https://societyillustrators.org/,Upper East Side South,4.5
New York,945,10021,Madison Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9639898 40.7734755),40.7734755,237,-73.9639898,Frick Madison,Th-Su 10:00-18:00,museum,https://www.frick.org/,Upper East Side South,4.5
New York,128,10065,128 E 63rd Street,Take a trip to the past by visiting this museum and observing the rich history provided,POINT (-73.96683319655673 40.76494481265049),40.76494481,237,-73.9668332,Society of Illustrators,We-Sa 11:00-17:00,museum,http://www.societyillustrators.org/,Upper East Side South,4.5
New York,,10022,"59th Street and, 1000 Third Avenue, Lexington Avenue","From the culinary delight that is the Chelsea Market, to the iconic Westfields Mall, Manhattan is a Shopaholic's Paradise!",POINT (-73.96705850208201 40.7624338425677),40.76243384,237,-73.9670585,Bloomingdale's,Mo-Sa 10:00-20:00; Su 11:00-19:00,shopping,https://locations.bloomingdales.com/59th-street,Upper East Side South,4.5
New York,725,10021,Park Avenue,Take a trip to the past by visiting this museum and observing the rich history provided,POINT (-73.9644057927597 40.77015885413142),40.77015885,237,-73.96440579,Asia Society and Museum,Tu-Su 11:00-17:00,museum,http://asiasociety.org/new-york,Upper East Side South,4.5
New York,945,10021,Madison Avenue,Take a trip to the past by visiting this museum and observing the rich history provided,POINT (-73.96389336433755 40.77373507378782),40.77373507,237,-73.96389336,Frick Madison,Th-Su 10:00-18:00,museum,http://www.frick.org/madison,Upper East Side South,4.5
New York,4,10075,E 77th Street # 2,Immerse yourself in the captivating world of art as you explore the marvellous pieces this gallery has to offer,POINT (-73.96430234955788 40.77532215828041),40.77532216,237,-73.96430235,Michael Werner Gallery,Mo-Fr 10:00-18:00,gallery,https://www.michaelwerner.com/,Upper East Side South,4.5
New York,643,10065,Park Avenue," This theatre offers a variety of creative and captivating performances, from contempporary musicals to timeless plays. A show at this theatre will be nothing short of spectacular!",POINT (-73.96552281291186 40.76746575548986),40.76746576,237,-73.96552281,Park Avenue Armory,Mo-Fr 10:00-18:00,theatre,http://www.armoryonpark.org/,Upper East Side South,4.5
New York,290,10023,Columbus Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9781357 40.7786086),40.7786086,142,-73.9781357,NYC Barber Shop Museum,Tu-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-17:00,museum,https://www.nycbarbershopmuseum.com/,Lincoln Square East,4.5
